,text,label
1710,floundering,1
1196,neatly,0
2697,lesser-known,1
40,acerbically,1
618,complication,1
1953, we loved to have reply by you. :D Now get lost .,0
525,enchantingly,0
248,calmness,0
3751,sensationalize,1
679,There you guys. Read it for once at least. crying with joy,0
1720,forbid,1
1336,prefered,0
1590,sensitive,0
1133,I miss Temperance Brennan and Seeley Booth so much unhappy .1,1
1224,we were classmates for alvarez but i don't really see you around school anymore unhappy ,1
3841,skinny,1
2062,Don't say that unhappy ,1
1371,promised,0
2879,miscreants,1
437,we don%27t talk anymore like we used to do unhappy .1,1
2019,hegemony,1
2022,hell-bent,1
2930,misunderstanding,1
1794,thoughtfully,0
1018,Definitely my arms unhappy  .2,1
623,conceded,1
1672,stainless,0
3880,slug,1
3117,opportunistic,1
2176,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.2,1
1350,Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,1
1513,reverence,0
1145,discontent,1
2024,hells,1
4700,weary,1
213,bonny,0
1107,Sad story unhappy  ,1
2038, last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ,1
1653,spectacularly,0
1263,disrespectable,1
1713,foe,1
657,I'm not lost,0
686,fascinate,0
2780,madden,1
1698,You may draw your conclusions from any deviation from that level either in the direction of therapy or prevention,0
3482,refuse,1
1900,user-friendly,0
4139,sues,1
1203,disintegrated,1
2460,insolent,1
1332,preeminent,0
526,cash-strapped,1
3442,rail,1
571,choke,1
1047,devilishly,1
2630,knave,1
1180,miracles,0
1205,noiseless,0
698,faultless,0
3957,spew,1
413,delectable,0
3828,sinful,1
1376,rt for 13 ffs-it's not much but they're free-legit-free but follow me first to get them quicker-be patient i will g.1,0
918,delaying,1
1910,gruff,1
1559,fabricate,1
1467,enrage,1
3868,sloppy,1
955,poor baby unhappy  I hate people ,1
292,bellicose,1
313,commendably,0
3414,puzzling,1
465,R.I.P Victoria Wood  heaven knows we're miserable now unhappy ,1
3878,slowww,1
247,calming,0
3909,smudging,1
1781,tempting,0
78,aggravation,1
698,Thanks for being top engaged community members this week happy   Want this,0
2075,huckster,1
216,Joo okay happy,0
2390,infested,1
45,adulatory,0
2936,mock,1
2660,languor,1
2300,instant message perfectly fine :D how about you fellow ken,0
3667,savagery,1
1547,romantically,0
608,commotions,1
209,I face swapped a cat with a dog and it's really upsetting unhappy  .1,1
1057,kindliness,0
333,confidence,0
63,Hi ! I want to speak to you about a business partnership. happy,0
1970,winning,0
142,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it.2,0
2851,messes,1
2079,humiliating,1
3774,shamefully,1
1802,fundamentalism,1
2713,lied,1
1217,dismalness,1
1856,glitches,1
974,- top engaged members this week happy,0
2675,lawless,1
2098,only pure evil people unhappy ,1
305,beseech,1
158,anxiety,1
1676,I can't do it all on my own. (See what I did there? ) .1,1
418,brashness,1
3093,oddest,1
1115,disappointments,1
1008,Her back unhappy  .3,1
3623,ruining,1
2130,illegal,1
4676,wariness,1
1667,Definitely my arms unhappy  .1,1
452,dote,0
2360,inequitable,1
3069,obscured,1
4569,unviewable,1
1623,smile,0
1565,failing,1
45,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.2,0
2832,measly,1
70,adversity,1
1456,encroach,1
442,dirt-cheap,0
4049,stole,1
1447,rectifying,0
817, will check it happy,0
1653,The video will definitely be a 30 minute episode if not longer.,0
1325,praise,0
2270,Thanks for the recent follow Happy to connect happy  have a great Thursday..10,0
972,depression,1
1005,despondent,1
174,beautifully,0
1775,talented,0
4585,upheaval,1
1334, have a great week!! happy,0
479,happy anniv ming and papi!!!!! love love happy,0
216,boom,0
1240,ovation,0
918,honor,0
1614,skillful,0
1723,succeeds,0
913,hilarious,0
1170,disdainfully,1
3500,regrettably,1
3831,sinisterly,1
1113,disappointingly,1
260,did some warm up sketches of some of my faves,1
0,Thank you happy.1,0
339,For those asking,1
274,batty,1
218,Scout photobombed my bluebells photo sad  ,1
1749,supports,0
129,assurances,0
3944,somber,1
2,unhappy  every time laughing my ass off,1
551,enjoying,0
200,better-than-expected,0
1468,rejoicingly,0
2048, find out more and sign up at,0
1339,dodgey,1
945,illuminate,0
252,banal,1
4628,vibration,1
308,besmirch,1
1255,Hello 1372 followers - thank you so much for following! Will love to read your Tweets happy   Want this ?,0
1759,freezes,1
3753,senselessly,1
1799,When will you say hi sunshine ? unhappy  ,1
3157,overblown,1
2382,infamy,1
933,demolish,1
926,Thanks,0
4456,unhappy,1
261, I love you  have fun with your friends ,1
2133,illicit,1
4655,virulent,1
1201,disingenuously,1
2858,mindlessly,1
2056,Okay,0
433,dexterously,0
291,Your generous support is an integral part of my  happy  Thank you for the like!!,0
2223,impudent,1
2148,How can I set an alarm for 9am and snooze it until 12 unhappy ,1
2452,insincere,1
4121,subpoenas,1
1887,upgradable,0
748,Wow,0
2189,implicate,1
2145,imbroglio,1
896,heartening,0
4229,terror-genic,1
609,examplar,0
1678,flak,1
1221,dismayingly,1
4757,wrest,1
804,cuss,1
707,corruption,1
2731,loathing,1
2234,inaccurate,1
2853,messy,1
1153,mastery,0
1015,I would love to win these gorgeous nail polishes :D! Aren't they cute,0
1341,doggedly,1
247,baffled,1
3973,spoilages,1
500,effusiveness,0
291,cleanly,0
3865,slooow,1
3575,revile,1
1985,hating,1
2063,I had but I have just seen the email. SO GOOD :D,0
2776,lurking,1
7,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .7,1
3412,puzzled,1
1035, DM us happy  S.3,0
4284,totalitarian,1
4283,torturously,1
533,endorsed,0
3844,skulk,1
851, and have yourself a groovy Thursday!  happy,0
2047,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha.1,0
3111,one-sided,1
678,famously,0
2529,irately,1
4778,zealot,1
2242,inadverently,1
341,considerate,0
2192,impolite,1
2825,matte,1
2725,litigious,1
1594,sharp,0
996,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.14,1
965,impresses,0
297, oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,1
1828,tranquility,0
1995,hazardous,1
1302,dissuasive,1
761,crisis,1
948,Definitely my arms unhappy  .3,1
505,elation,0
1965,win,0
1341,Hey thanks for being top new followers this week! Much appreciated happy.3,0
1974,And this tweet made me cry!! crying ,1
2225,jyoustinbieber can you please follow me on daianeryoufato i've been trying for too long unhappy  i love you so much baby! xx (April 20,1
4684,waste,1
3361,pretence,1
291,belittling,1
1953,well-run,0
2196,Love you too P!,0
1058,kindly,0
328,bickering,1
373,bloody,1
3488,refuted,1
3440,ragged,1
2505,intoxicate,1
3514,remorse,1
1448,embattled,1
3444,rampage,1
1843,trusted,0
4618,vent,1
506,Beyond sad unhappy ,1
4006,stain,1
495, music and direction by of my favourites by.1,0
1500,evildoer,1
4521,unreliable,1
1449,redeeming,0
3561,retaliate,1
310,comfy,0
950,dent,1
4375,unbelievable,1
976,I check Beautiful News every single day,0
2120,ill-favored,1
3894,smelled,1
1466, let me know!  :-)(I'M A CHAMPION!!!!!)Elder Lenore A. ArtisMinistries...,0
1187,momentous,0
4504,unprofitable,1
1942,Koalas are dying of thirst  and it's all because of us unhappy  .8,1
330,conciliate,0
654,exuberance,0
2242,rt  quote with your name for a calligraphy of it happy  i'll try my best to make it pretty!! non mutuals/mutuals (ifb) fl,0
3423,quarrelsome,1
842,graciously,0
1216,obsession,0
893,Sir Ash Ketchum and Princess May. happy,0
380,blur,1
1187,dishearteningly,1
3770,sham,1
3610,rogue,1
254,carefree,0
1541,Thanks for the retweets this week. Much appreciated happy   Want this,0
729,finely,0
2124,ill-sorted,1
1945,well-known,0
1395,prudence,0
2195,.the person who chose shut the fuck up: unhappy ,1
1439,egregiously,1
125,aspiration,0
1210,dislikes,1
2111,ignominy,1
4347,tyrannically,1
1897,grossly,1
3845,slack,1
24,adaptable,0
4355,ulterior,1
713,where are you now? happy,0
963,impress,0
191,benevolence,0
753,Get this to 150!!,0
3937,so-cal,1
664,eyecatching,0
3356,preoccupy,1
2644,laconic,1
1237,outstandingly,0
840,gracefully,0
418,delighted,0
4431,uneven,1
3209,pander,1
1616,slammin,0
1071,diffidence,1
306,beset,1
1521,thanks for the recent follow. Much appreciated happy  Get it,0
4260,timidity,1
1875,unity,0
3058,objections,1
1502,responsibly,0
329,bid-rigging,1
1385,I miss Temperance Brennan and Seeley Booth so much unhappy ,1
232,breeze,0
3201,painfull,1
429,breaking,1
2836,mediocrity,1
3067,obscenity,1
427, my views have gone done by about 100 monthly unhappy ,1
122,i will do happy,0
2129,Stats for the day have arrived. 1 new follower and NO unfollowers happy  via.2,0
1925,vouch,0
4184,taboo,1
4510,unqualified,1
885,We love that our bloggers love us so much happy  Thank you for such an amazing review The Perfect Glasses h,0
897,deform,1
301,Pierces like a bitch unhappy ,1
1437,recommendation,0
2140,illusions,1
1335,dizzing,1
1024,4/20 today,1
1974,haste,1
4084,strut,1
1359,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  .3,1
3211,panders,1
2388,infernal,1
683,Your titties are fantastic. Kissy Kissy,0
1004,instantly,0
94,amiability,0
1985,work,0
2453,insincerely,1
1548,extort,1
1793,I was thinking the same. Our i know is so cute happy,0
1894,Some summer salad inspiration for the BBQ smile,0
2169,SO PRECIOUS I REALLY MISS HIM unhappy   .2,1
880,happily,0
28, unfortunately,1
2091,It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat ,1
1472,relaxed,0
558,enough,0
465,earnestly,0
1917,vigilance,0
2149,Another great day out in Westhoughton,0
1190,dishonesty,1
36,adore,0
3620,ruffle,1
4185,tacky,1
4455,unhappiness,1
2148,imminence,1
1379,propitious,0
1509,exasperate,1
1059,kindness,0
264,Ah,0
1795,fudge,1
3352,prejudice,1
4344,two-faced,1
1901,user-replaceable,0
4279,tortured,1
1406,drunkard,1
1980,hatefully,1
294,Congrats on your :D,0
1533,expel,1
1060,cant speak japanese ::(,1
1996,wowed,0
2010,heckled,1
4547,unsuccessful,1
2514,invader,1
207,to  pork pies happy,0
674,i miss them unhappy ,1
467,ease,0
580,entranced,0
492,Hello everyone.2,0
2283,inconceivably,1
134,Enter to win 1 of to  boxes of highly anticipated books! 6 books in each box! Open INT happy,0
521,carelessness,1
1378,drags,1
4610,vehemently,1
1304, the Mini and the Campervan happy,0
758,She loved Beth so much unhappy ,1
4216,temptation,1
318,bewilder,1
1227,outdo,0
2214,improbability,1
3462,rattled,1
892,Her back unhappy  ,1
1140,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.1,0
18,Demit the gocoh game is real crying with joy,0
800,curse,1
7,acclaimed,0
708, just me killin time to say hey! :D,0
2013,who's selling an army bomb ver 2??? meet up on sad ,1
1885,grieve,1
1363,profuse,0
861,decayed,1
1040,jovial,0
1720,succeed,0
1070,lawfully,0
2158,impair,1
1434,egomania,1
1490,resilient,0
2450,insignificant,1
4544,unsteadily,1
894,healthy,0
2398,inflammatory,1
727,GIVING AWAY ALL THESE SOUVENIRS TO 5 LUCKY WINNERS!To Enter: Follow + RTRolling winners in 48 hold on,0
159,awarded,0
582,entrust,0
1632,Ohh yeah and we had sausage with our pancakes happy  x,0
4709,whining,1
1188,dishonest,1
1423,no I'm waiting for jail break happy,0
684,contemptuously,1
3490,refuting,1
3586,ricer,1
1688,stimulate,0
4545,unsteadiness,1
3725,screwy,1
4760,wretched,1
669,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.4,0
1532,righten,0
505,thanks,0
351,blasted,1
3095,oddity,1
327,bicker,1
4107,stuttered,1
125,angrily,1
2299,inconvenience,1
1557,AVI for my man :)Phone made like always wink.1,0
2641,lacking,1
532,cataclysmic,1
1641, if I can't fix it soon I'll have to delay them until tomorrow unhappy ,1
576,chunky,1
499, any updates about the batch 1 of army bomb v2? happy,0
1828,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.6,0
403,boring,1
1890,upheld,0
531,thanks for the recent follow,0
3979,spookiest,1
3984,spoonfed,1
957,impartiality,0
1274,dissappointed,1
408,bothers,1
2984,murky,1
3409,puny,1
631,excitedly,0
1684,steadiness,0
364,i'll try sad and yes i am unhappy ,1
954,immaculately,0
827,darker,1
513,cannibal,1
1758,freeze,1
1941,well-educated,0
3287,phony,1
3139,outrageous,1
466,earnestness,0
526,I just hope I start getting the 1GB data per day from tonight!! unhappy ,1
1716,oh jeez.  i didn't even try taking a crack at it because i expected the build to be so bad,1
3705,scorn,1
3584,rhetoric,1
3665,savage,1
217,avalanche,1
384,we would love to have you as a guest on podcast sometime!!! Only 15 minute smile  interested???,0
210,bloom,0
1100,disagreeable,1
193,It's gray outside today unhappy ,1
4137,sued,1
165,awesomeness,0
143,attentive,0
621,excelled,0
1696,.- layout- btob happy,0
1373,draconic,1
2964,mortified,1
1920,virtuous,0
1014,destroy,1
4690,watered-down,1
116,ambush,1
444,distinctive,0
1514,excessive,1
294,cleared,0
717,felicity,0
3454,rants,1
1128,magic,0
398,dead-cheap,0
702,favorable,0
3390,proprietary,1
1885,Andy unhappy  ,1
618,exceled,0
3734,seedy,1
1083,ehh i cant DM you unhappy ,1
3516,remorsefully,1
1379, have a great Thursday! Looking forward to reading your tweets happy   Want this,0
2808,mangling,1
2563,irreplacible,1
1947,well-managed,0
1617,sleek,0
4513,unreachable,1
2088,Dude,0
4009,stalemate,1
582,you're so rude unhappy  ,1
1760,sustainability,0
1183,disgusting,1
4373,unbearable,1
2208,Got This interview poppin happy  $$$$$,0
2188,you know that the problem still exist :D,0
324,complemented,0
2487,insurrection,1
1923,vivacious,0
3532,reproach,1
415,brainwash,1
2279,Hellooo happy  KT Bear (FFABear),0
3858,slime,1
688,contort,1
2205,MUZ U MORE,1
1817,wowwow these are all so cute unhappy  i wantt ,1
185,still waiting unhappy ,1
4169,suspicion,1
150,anti-semites,1
3788,shit,1
4178,swindle,1
1959,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy.3,0
4489,unneeded,1
4309,traumatic,1
4045,stingy,1
1682,steadfastness,0
1545,exterminate,1
33,admiring,0
1834,the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,1
2509,intrude,1
1432,reassure,0
601,If you're a CHAMPION,0
2233,But I think you'll do better than me happy,0
2676,lawlessness,1
3436,radicalization,1
2074,hubris,1
4088,stuck,1
290,belittled,1
983,inestimably,0
1494,I'm staying here in SA unhappy ,1
3386,prohibitive,1
3342,prate,1
1139,disconcerted,1
534,Thanks for the recent follow Happy to connect happy  have a great Thursday..15,0
2863,misaligns,1
400,bored,1
1192,Jae celebrating with Sheena Easton after the triumphant opening night of 42nd Street in the West End! happy,0
2203,impossibly,1
4145,suffers,1
3528,repress,1
2972,mournfully,1
1093,long-lasting,0
391,boiling,1
3990,squabble,1
249,capability,0
577,apr. 26th beach house! dinner+music+ party with oldies goldies happy  buffet / BBQ 40TLbeer-  wein10TL raki12.5TL h,0
1642, I protect it with a layer of fat :)KISSES TheFashionIcon,0
803,glad,0
447,brutal,1
1664,sorry unhappy  i just need sex for the time being,1
1592,fanatical,1
287,beleaguer,1
1841,ghosting,1
1417,dumped,1
2053,don't miss you anymore unhappy ,1
4703,weep,1
3612,rot,1
2966,mortifying,1
895, 24-20 unhappy ,1
1900, thanks so much for following us! We'd love to know what you think of our flooring range happy,0
1296,i want to see you happy sad ,1
4451,unfunded,1
1214,disloyalty,1
192,benevolent,0
1402,dropouts,1
152,authoritative,0
1837,for the recent follow. Much appreciated happy  Want this?,0
2944,molestation,1
1497,evasion,1
1077,din,1
1396,drones,1
1579, please do commend him. H ,1
500,wants to say HI to you.,1
61, got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud unhappy ,1
1869,red velvet too unhappy  ,1
1892,No stress Mariana,0
440,even me unhappy  *hugs*,1
169,balanced,0
655,confrontational,1
1797,Just let is know when you'd like one happy,0
1621,fatigued,1
3588,ridicules,1
288,belie,1
4068,stressful,1
1342,prestigious,0
1116,lucky,0
4769,writhe,1
3260,perplexity,1
1251,disputable,1
75,afraid,1
2072,hotheaded,1
1189,monumentally,0
3056,objection,1
323, plus I want to win that Merc C63 silence  Sooo! happy,0
1324,powerfully,0
460,buggy,1
4294,tragically,1
2198,imposers,1
1308,plusses,0
4535,unsettling,1
3536,repudiate,1
3257,perplex,1
415,delicate,0
202,blameless,0
835,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.7,1
1586,sensationally,0
793,Helloo :D Mr Drippy (CallMeErgan),0
2220,imprudence,1
4276,torrent,1
78,all-around,0
3150,overact,1
3233,pathetically,1
705,corrupted,1
1168,merry,0
3126,oppressors,1
1969,Welcome happy,0
1049,devilry,1
251,Definitely my arms unhappy  .12,1
3733,sedentary,1
1426,dwindling,1
901,Make them feel that you are there to listen to their problems,0
4235,tetchy,1
215,We're ready for our next fire lighting session at - we have a few keen early birds here already smile,0
2181,impetuous,1
415,Thanks for the recent follow Happy to connect happy  have a great Thursday..32,0
679,fancier,0
967,impressively,0
3849,slanderously,1
1957,More than just a picture unhappy  ,1
93,His face looks bloated unhappy  baby get well soon ,1
1831,i want harry's phonecase sad ,1
2222,Hi guys! :)We're looking for to  bartenders/mixologists to work with us at an upcoming event. DM us,0
866,gutsy,0
886,haha! Very good tweet mate happy  heard your a big boy account! The King shit happensould we say happy  any chance of a shit happens,0
1068,difficult,1
118,thanks for the recent follow. Much appreciated happy  Get it.1,0
2203,is the RockSoc still going? I was there at the beginning smile,0
2050,hoodwink,1
50,Company photoshoot with our fabulous photographer happy  Look at this determination (concrete shoes) to get,0
1908,verifiable,0
1836,it's not cassandra cain. unhappy  not sure i want to watch batbuffy. batwoman would have been more interesting. ,1
1477,enviousness,1
1924,vivid,0
4358,ultra-hardline,1
1538,rightly,0
792,Cold as a mother crusher right now. Nearing the end of April. sad ,1
1710,stylishly,0
1101,disagreeably,1
1338,preferring,0
733,crashed,1
1226,originality,0
127,aspire,0
2968,motley,1
730,I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,1
2673,lawbreaker,1
2349,inefficiently,1
884,defame,1
1150, going to see what's about and speak to people that live near to me and see what they use happy,0
55,advocates,0
939,demonizes,1
1165,merrily,0
456,Ma de tonight i don%27t really care crying with joy,0
3137,outrage,1
1313,poised,0
3817,sickeningly,1
4017,startle,1
1790,thank,0
340,Hi Mahima! We share your concern unhappy  Please DM us your contact details so that we can get in touch for a detailed.. cont1,1
574,enthusiastic,0
2231,in game you move him to camera happy,0
1825,toughest,0
1251,palatial,0
4159,superficiality,1
3068,obscure,1
1255,pamperedness,0
1301,dissuade,1
3078,obstinate,1
4105,stupor,1
4672,waning,1
3902,smoldering,1
1891,uphold,0
354,convienient,0
1577,fallaciousness,1
1330,Can you do that when player kills you. Then the player rank would show up. happy,0
1031,irreplaceable,0
2643,lacks,1
3583,rhapsodize,1
1730,forgetfulness,1
2375,inexpertly,1
2198,mannn,1
2803,malodorous,1
21,absurdness,1
1680, I have a cold unhappy  we'll see how I feel today!,1
3806,shrill,1
4117,subjugation,1
265,baseless,1
1952,harden,1
4584,upbraid,1
991,Follow him happy,0
1770, now I need a different pinned tweet unhappy  ,1
390,boil,1
318,compassion,0
1215,dismal,1
1293,dissidents,1
835,daze,1
1108,Ah awesome! Pixel art stuff by any chance? happy,0
860,decay,1
1702,flickers,1
3357,preposterous,1
1251,That sucks unhappy .1,1
2042,hissing,1
3556,restrict,1
962,deploring,1
1381,pros,0
312,commendable,0
3731,second-tier,1
2197,This picture makes me sad unhappy  ,1
1999,yay,0
763,freed,0
3832,sink,1
591,err-free,0
437,dignity,0
1149,masterfully,0
3307,plagiarize,1
3320,pointless,1
2204,impotent,1
192,I think I'm going to check out Even though I hear it's not as good as UE4 I believe it might be cool to tr,0
432,breakups,1
1102,especially for people who have low patience level happy,0
49,acrimonious,1
1242,overtake,0
1981,wonderously,0
3102,offenses,1
1796,fugitive,1
525,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.2,0
198,better,0
3254,perilously,1
4219,tension,1
141, it's Adore you  ,1
777,futurestic,0
1452,emergency,1
4083,struggling,1
244,buoyant,0
1246,overtook,0
748,creeping,1
4249,throb,1
16,absent-minded,1
